Name,Breakfast,Lunch/Brunch,Dinner,Extended Dinner
Epicuria,CLOSED,CLOSED,5 p.m. - 9 p.m.,CLOSED
De Neve,7 a.m. - 9:30 a.m.,11 a.m. - 3 p.m.,5 p.m. - 9 p.m.,CLOSED
Spice Kitchen at Feast,CLOSED,CLOSED,5 p.m. - 9 p.m.,9 p.m. - 11 p.m.
Bruin Plate,7 a.m. - 10 a.m.,11 a.m. - 2 p.m.,5 p.m. - 9 p.m.,CLOSED
Bruin Café,CLOSED,11 a.m. - 3 p.m.,5 p.m. - 9 p.m.,CLOSED
Café 1919,CLOSED,CLOSED,6 p.m. - 9 p.m.,9 p.m. - 10 p.m.
Rendezvous,CLOSED,11 a.m. - 3 p.m.,5 p.m. - 9 p.m.,CLOSED
The Study at Hedrick,7 a.m. - 10 a.m.,11 a.m. - 2 p.m.,5 p.m. - 9 p.m.,9 p.m. - 12 a.m.
The Drey,CLOSED,11 a.m. - 3 p.m.,5 p.m. - 9 p.m.,CLOSED
Epic at Ackerman,CLOSED,11 a.m. - 4 p.m.,5 p.m. - 9 p.m.,CLOSED
Rieber Turnaround Food Trucks,CLOSED,CLOSED,5 p.m. - 8:30 p.m.,9 p.m. - 12 a.m.
Sproul Turnaround Food Trucks,CLOSED,CLOSED,5 p.m. - 8:30 p.m.,9 p.m. - 12 a.m.
UCLA Restaurants (Campus),CLOSED,CLOSED,CLOSED,CLOSED
